"","cellids","conf1","conf2","conf3"
"1","D344","3","unassigned","2"
"2","D353","unassigned","unassigned","unassigned"
"3","D326","3","1","2"
"4","D363","3","1","2"
"5","D363","3","1","2"
"6","D363","unassigned","1","2"
"7","D372","unassigned","unassigned","2"
"8","D322","unassigned","unassigned","2"
"9","D326","unassigned","unassigned","2"
"10","D353","unassigned","unassigned","2"
"11","D326","unassigned","unassigned","2"
"12","D372","unassigned","unassigned","2"
"13","D339","unassigned","unassigned","2"
"14","D372","3","1","2"
"15","D353","3","1","2"
"16","D354","unassigned","unassigned","2"
"17","D326","unassigned","unassigned","2"
"18","D326","3","1","2"
"19","D372","unassigned","unassigned","2"
"20","D353","unassigned","unassigned","2"
"21","D353","unassigned","unassigned","2"
"22","D354","3","1","2"
"23","D339","unassigned","1","2"
"24","D372","unassigned","unassigned","2"
"25","D354","unassigned","unassigned","2"
"26","D354","3","1","2"
"27","D353","3","1","2"
"28","D367","3","unassigned","2"
"29","D354","unassigned","unassigned","2"
"30","D363","unassigned","unassigned","2"
"31","D372","unassigned","unassigned","2"
"32","D372","3","1","2"
"33","D322","unassigned","unassigned","2"
"34","D372","3","1","2"
"35","D367","unassigned","unassigned","2"
"36","D372","3","1","2"
"37","D339","unassigned","unassigned","unassigned"
"38","D339","unassigned","unassigned","2"
"39","D372","3","1","2"
"40","D363","unassigned","unassigned","2"
"41","D322","unassigned","unassigned","2"
"42","D372","3","1","2"
"43","D372","3","1","2"
"44","D353","3","1","2"
"45","D372","unassigned","unassigned","2"
"46","D354","unassigned","unassigned","2"
"47","D367","unassigned","unassigned","2"
"48","D354","unassigned","unassigned","2"
"49","D353","3","1","2"
"50","D372","3","1","2"
"51","D354","unassigned","unassigned","2"
"52","D344","3","1","2"
"53","D339","unassigned","unassigned","2"
"54","D339","unassigned","unassigned","2"
"55","D372","unassigned","unassigned","2"
"56","D353","3","1","2"
"57","D353","3","1","2"
"58","D322","3","1","2"
"59","D363","3","unassigned","2"
"60","D372","3","unassigned","2"
"61","D322","unassigned","unassigned","unassigned"
"62","D367","1","unassigned","2"
"63","D367","3","1","2"
"64","D339","3","1","2"
"65","D339","3","1","2"
"66","D372","3","1","2"
"67","D353","3","1","2"
"68","D322","3","1","2"
"69","D344","unassigned","unassigned","2"
"70","D344","unassigned","unassigned","2"
"71","D353","unassigned","unassigned","2"
"72","D344","3","1","2"
"73","D363","unassigned","unassigned","2"
"74","D353","unassigned","unassigned","2"
"75","D344","unassigned","unassigned","2"
"76","D372","3","1","2"
"77","D344","3","1","2"
"78","D344","3","1","2"
"79","D339","unassigned","unassigned","2"
"80","D367","unassigned","unassigned","2"
"81","D326","3","1","2"
"82","D353","unassigned","unassigned","2"
"83","D363","3","1","2"
"84","D367","3","1","2"
"85","D344","3","1","2"
"86","D372","unassigned","unassigned","2"
"87","D363","unassigned","unassigned","2"
"88","D372","unassigned","unassigned","2"
"89","D339","unassigned","unassigned","2"
"90","D363","unassigned","unassigned","2"
"91","D372","unassigned","unassigned","2"
"92","D344","unassigned","unassigned","2"
"93","D353","3","unassigned","2"
"94","D363","unassigned","unassigned","2"
"95","D344","unassigned","unassigned","2"
"96","D367","unassigned","unassigned","2"
"97","D372","unassigned","unassigned","2"
"98","D353","unassigned","unassigned","2"
"99","D354","unassigned","unassigned","2"
"100","D344","unassigned","unassigned","2"
"101","D353","unassigned","unassigned","2"
"102","D372","unassigned","unassigned","2"
"103","D339","unassigned","unassigned","2"
"104","D363","unassigned","unassigned","2"
"105","D344","3","1","2"
"106","D367","3","1","2"
"107","D353","unassigned","unassigned","2"
